smiles,canonical_smiles,segment_id,segment_type,priority,atom_indices,bond_indices,num_atoms,num_bonds,reason
C=Cc1ccccc1,C=Cc1ccccc1,0,ring_system,1,2 3 4 5 6 7,2 3 4 5 6 7,6,6,Ring-system segment from rings merged by shared atoms/bonds; separate rings merge across direct RDKit-conjugated or aromatic-compatible ring-ring bonds; exocyclic multiple bonds from ring atoms to heteroatoms are preserved.
C=Cc1ccccc1,C=Cc1ccccc1,1,unsaturated_conjugated,2,0 1,0,2,1,Non-ring multiple-bond seed expanded through unassigned RDKit-perceived conjugated bonds.
