smiles,canonical_smiles,segment_id,segment_type,priority,atom_indices,bond_indices,num_atoms,num_bonds,reason
Clc1ccccc1,Clc1ccccc1,0,ring_system,1,1 2 3 4 5 6,1 2 3 4 5 6,6,6,Ring-system segment from rings merged by shared atoms/bonds; separate rings merge across direct RDKit-conjugated or aromatic-compatible ring-ring bonds; exocyclic multiple bonds from ring atoms to heteroatoms are preserved.
Clc1ccccc1,Clc1ccccc1,1,terminal_heteroatom,4,0,,1,0,Remaining heteroatom with exactly one heavy-atom neighbor; attachment bond is labeled during final boundary generation.
